id,Planting,ft,Start_Date,End_Date,censored
RIJC_213,CIT,37,2011-03-24,2011-04-30,0
RIJC_214,CIT,38,2011-03-24,2011-05-01,0
RIJC_216,CIT,47,2011-03-24,2011-05-10,0
RIJC_217,CIT,34,2011-03-24,2011-04-27,0
RIJC_218,CIT,44,2011-03-24,2011-05-07,0
RIJC_220,CIT,41,2011-03-24,2011-05-04,0
RIJC_221,CIT,52,2011-03-24,2011-05-15,0
RIJC_223,CIT,42,2011-03-24,2011-05-05,0
RIJC_224,CIT,40,2011-03-24,2011-05-03,0
RIJC_225,CIT,42,2011-03-24,2011-05-05,0
RIJC_226,CIT,44,2011-03-24,2011-05-07,0
RIJC_229,CIT,43,2011-03-24,2011-05-06,0
RIJC_230,CIT,44,2011-03-24,2011-05-07,0
RIJC_231,CIT,39,2011-03-24,2011-05-02,0
RIJC_232,CIT,50,2011-03-24,2011-05-13,0
RIJC_233,CIT,37,2011-03-24,2011-04-30,0
RIJC_234,CIT,40,2011-03-24,2011-05-03,0
RIJC_235,CIT,47,2011-03-24,2011-05-10,0
RIJC_236,CIT,43,2011-03-24,2011-05-06,0
RIJC_237,CIT,42,2011-03-24,2011-05-05,0
RIJC_238,CIT,40,2011-03-24,2011-05-03,0
RIJC_242,CIT,51,2011-03-24,2011-05-14,0
RIJC_243,CIT,44,2011-03-24,2011-05-07,0
RIJC_244,CIT,37,2011-03-24,2011-04-30,0
RIJC_245,CIT,35,2011-03-24,2011-04-28,0
RIJC_247,CIT,42,2011-03-24,2011-05-05,0
RIJC_248,CIT,37,2011-03-24,2011-04-30,0
RIJC_249,CIT,46,2011-03-24,2011-05-09,0
RIJC_250,CIT,36,2011-03-24,2011-04-29,0
RIJC_251,CIT,38,2011-03-24,2011-05-01,0
RIJC_252,CIT,40,2011-03-24,2011-05-03,0
RIJC_253,CIT,44,2011-03-24,2011-05-07,0
RIJC_254,CIT,36,2011-03-24,2011-04-29,0
RIJC_255,CIT,39,2011-03-24,2011-05-02,0
RIJC_256,CIT,47,2011-03-24,2011-05-10,0
RIJC_257,CIT,34,2011-03-24,2011-04-27,0
RIJC_259,CIT,45,2011-03-24,2011-05-08,0
RIJC_261,CIT,44,2011-03-24,2011-05-07,0
RIJC_262,CIT,52,2011-03-24,2011-05-15,0
RIJC_264,CIT,41,2011-03-24,2011-05-04,0
RIJC_302,CIT,42,2011-03-24,2011-05-05,0
RIJC_303,CIT,47,2011-03-24,2011-05-10,0
RIJC_306,CIT,40,2011-03-24,2011-05-03,0
RIJC_307,CIT,50,2011-03-24,2011-05-13,0
RIJC_309,CIT,50,2011-03-24,2011-05-13,0
RIJC_311,CIT,40,2011-03-24,2011-05-03,0
RIJC_312,CIT,46,2011-03-24,2011-05-09,0
RIJC_313,CIT,36,2011-03-24,2011-04-29,0
RIJC_314,CIT,42,2011-03-24,2011-05-05,0
RIJC_316,CIT,38,2011-03-24,2011-05-01,0
RIJC_317,CIT,48,2011-03-24,2011-05-11,0
RIJC_318,CIT,49,2011-03-24,2011-05-12,0
RIJC_319,CIT,45,2011-03-24,2011-05-08,0
RIJC_320,CIT,46,2011-03-24,2011-05-09,0
RIJC_321,CIT,52,2011-03-24,2011-05-15,0
RIJC_322,CIT,45,2011-03-24,2011-05-08,0
RIJC_326,CIT,40,2011-03-24,2011-05-03,0
RIJC_327,CIT,39,2011-03-24,2011-05-02,0
RIJC_328,CIT,45,2011-03-24,2011-05-08,0
RIJC_330,CIT,42,2011-03-24,2011-05-05,0
RIJC_334,CIT,47,2011-03-24,2011-05-10,0
RIJC_335,CIT,34,2011-03-24,2011-04-27,0
RIJC_337,CIT,42,2011-03-24,2011-05-05,0
RIJC_339,CIT,53,2011-03-24,2011-05-16,0
RIJC_340,CIT,43,2011-03-24,2011-05-06,0
RIJC_342,CIT,41,2011-03-24,2011-05-04,0
RIJC_344,CIT,48,2011-03-24,2011-05-11,0
RIJC_347,CIT,51,2011-03-24,2011-05-14,0
RIJC_348,CIT,42,2011-03-24,2011-05-05,0
RIJC_349,CIT,45,2011-03-24,2011-05-08,0
RIJC_352,CIT,42,2011-03-24,2011-05-05,0
RIJC_355,CIT,42,2011-03-24,2011-05-05,0
RIJC_356,CIT,41,2011-03-24,2011-05-04,0
RIJC_360,CIT,46,2011-03-24,2011-05-09,0
RIJC_361,CIT,48,2011-03-24,2011-05-11,0
RIJC_362,CIT,44,2011-03-24,2011-05-07,0
RIJC_363,CIT,38,2011-03-24,2011-05-01,0
RIJC_364,CIT,35,2011-03-24,2011-04-28,0
RIJC_366,CIT,37,2011-03-24,2011-04-30,0
RIJC_367,CIT,35,2011-03-24,2011-04-28,0
RIJC_368,CIT,37,2011-03-24,2011-04-30,0
RIJC_369,CIT,40,2011-03-24,2011-05-03,0
RIJC_370,CIT,47,2011-03-24,2011-05-10,0
RIJC_371,CIT,47,2011-03-24,2011-05-10,0
RIJC_372,CIT,41,2011-03-24,2011-05-04,0
RIJC_373,CIT,43,2011-03-24,2011-05-06,0
RIJC_374,CIT,36,2011-03-24,2011-04-29,0
RIJC_003,ND,58,2012-05-16,2012-07-13,0
RIJC_004,ND,56,2012-05-16,2012-07-11,0
RIJC_005,ND,64,2012-05-16,2012-07-19,0
RIJC_006,ND,54,2012-05-16,2012-07-09,0
RIJC_007,ND,60,2012-05-16,2012-07-15,0
RIJC_009,ND,55,2012-05-16,2012-07-10,0
RIJC_011,ND,65,2012-05-16,2012-07-20,0
RIJC_012,ND,59,2012-05-16,2012-07-14,0
RIJC_013,ND,54,2012-05-16,2012-07-09,0
RIJC_014,ND,65,2012-05-16,2012-07-20,0
RIJC_015,ND,54,2012-05-16,2012-07-09,0
RIJC_016,ND,57,2012-05-16,2012-07-12,0
RIJC_017,ND,67,2012-05-16,2012-07-22,0
RIJC_019,ND,58,2012-05-16,2012-07-13,0
RIJC_020,ND,49,2012-05-16,2012-07-04,0
RIJC_022,ND,66,2012-05-16,2012-07-21,0
RIJC_025,ND,63,2012-05-16,2012-07-18,0
RIJC_027,ND,62,2012-05-16,2012-07-17,0
RIJC_029,ND,52,2012-05-16,2012-07-07,0
RIJC_032,ND,59,2012-05-16,2012-07-14,0
RIJC_046,ND,53,2012-05-16,2012-07-08,0
RIJC_047,ND,63,2012-05-16,2012-07-18,0
RIJC_048,ND,56,2012-05-16,2012-07-11,0
RIJC_059,ND,65,2012-05-16,2012-07-20,0
RIJC_061,ND,62,2012-05-16,2012-07-17,0
RIJC_065,ND,54,2012-05-16,2012-07-09,0
RIJC_066,ND,71,2012-05-16,2012-07-26,0
RIJC_067,ND,54,2012-05-16,2012-07-09,0
RIJC_069,ND,52,2012-05-16,2012-07-07,0
RIJC_070,ND,55,2012-05-16,2012-07-10,0
RIJC_072,ND,55,2012-05-16,2012-07-10,0
RIJC_073,ND,59,2012-05-16,2012-07-14,0
RIJC_074,ND,61,2012-05-16,2012-07-16,0
RIJC_075,ND,66,2012-05-16,2012-07-21,0
RIJC_076,ND,52,2012-05-16,2012-07-07,0
RIJC_078,ND,45,2012-05-16,2012-06-30,0
RIJC_079,ND,54,2012-05-16,2012-07-09,0
RIJC_080,ND,48,2012-05-16,2012-07-03,0
RIJC_081,ND,52,2012-05-16,2012-07-07,0
RIJC_082,ND,51,2012-05-16,2012-07-06,0
RIJC_129,ND,51,2012-05-16,2012-07-06,0
RIJC_130,ND,48,2012-05-16,2012-07-03,0
RIJC_131,ND,53,2012-05-16,2012-07-08,0
RIJC_135,ND,54,2012-05-16,2012-07-09,0
RIJC_136,ND,53,2012-05-16,2012-07-08,0
RIJC_137,ND,60,2012-05-16,2012-07-15,0
RIJC_138,ND,52,2012-05-16,2012-07-07,0
RIJC_140,ND,66,2012-05-16,2012-07-21,0
RIJC_141,ND,55,2012-05-16,2012-07-10,0
RIJC_142,ND,62,2012-05-16,2012-07-17,0
RIJC_144,ND,60,2012-05-16,2012-07-15,0
RIJC_145,ND,54,2012-05-16,2012-07-09,0
RIJC_146,ND,53,2012-05-16,2012-07-08,0
RIJC_147,ND,62,2012-05-16,2012-07-17,0
RIJC_148,ND,65,2012-05-16,2012-07-20,0
RIJC_149,ND,64,2012-05-16,2012-07-19,0
RIJC_151,ND,56,2012-05-16,2012-07-11,0
RIJC_203,ND,55,2012-05-16,2012-07-10,0
RIJC_204,ND,55,2012-05-16,2012-07-10,0
RIJC_205,ND,51,2012-05-16,2012-07-06,0
RIJC_206,ND,55,2012-05-16,2012-07-10,0
RIJC_207,ND,57,2012-05-16,2012-07-12,0
RIJC_208,ND,64,2012-05-16,2012-07-19,0
RIJC_209,ND,58,2012-05-16,2012-07-13,0
RIJC_210,ND,60,2012-05-16,2012-07-15,0
RIJC_212,ND,63,2012-05-16,2012-07-18,0
RIJC_213,ND,67,2012-05-16,2012-07-22,0
RIJC_214,ND,62,2012-05-16,2012-07-17,0
RIJC_216,ND,53,2012-05-16,2012-07-08,0
RIJC_219,ND,63,2012-05-16,2012-07-18,0
RIJC_220,ND,53,2012-05-16,2012-07-08,0
RIJC_224,ND,49,2012-05-16,2012-07-04,0
RIJC_225,ND,54,2012-05-16,2012-07-09,0
RIJC_229,ND,52,2012-05-16,2012-07-07,0
RIJC_230,ND,52,2012-05-16,2012-07-07,0
RIJC_231,ND,57,2012-05-16,2012-07-12,0
RIJC_232,ND,68,2012-05-16,2012-07-23,0
RIJC_233,ND,56,2012-05-16,2012-07-11,0
RIJC_234,ND,64,2012-05-16,2012-07-19,0
RIJC_235,ND,58,2012-05-16,2012-07-13,0
RIJC_236,ND,57,2012-05-16,2012-07-12,0
RIJC_237,ND,54,2012-05-16,2012-07-09,0
RIJC_238,ND,51,2012-05-16,2012-07-06,0
RIJC_242,ND,58,2012-05-16,2012-07-13,0
RIJC_243,ND,57,2012-05-16,2012-07-12,0
RIJC_245,ND,54,2012-05-16,2012-07-09,0
RIJC_247,ND,59,2012-05-16,2012-07-14,0
RIJC_249,ND,56,2012-05-16,2012-07-11,0
RIJC_250,ND,63,2012-05-16,2012-07-18,0
RIJC_251,ND,48,2012-05-16,2012-07-03,0
RIJC_252,ND,70,2012-05-16,2012-07-25,0
RIJC_253,ND,60,2012-05-16,2012-07-15,0
RIJC_254,ND,58,2012-05-16,2012-07-13,0
RIJC_255,ND,60,2012-05-16,2012-07-15,0
RIJC_257,ND,51,2012-05-16,2012-07-06,0
RIJC_259,ND,61,2012-05-16,2012-07-16,0
RIJC_261,ND,68,2012-05-16,2012-07-23,0
RIJC_262,ND,65,2012-05-16,2012-07-20,0
RIJC_264,ND,62,2012-05-16,2012-07-17,0
RIJC_301,ND,62,2012-05-16,2012-07-17,0
RIJC_302,ND,57,2012-05-16,2012-07-12,0
RIJC_303,ND,55,2012-05-16,2012-07-10,0
RIJC_306,ND,55,2012-05-16,2012-07-10,0
RIJC_309,ND,64,2012-05-16,2012-07-19,0
RIJC_310,ND,63,2012-05-16,2012-07-18,0
RIJC_311,ND,64,2012-05-16,2012-07-19,0
RIJC_313,ND,58,2012-05-16,2012-07-13,0
RIJC_314,ND,69,2012-05-16,2012-07-24,0
RIJC_316,ND,47,2012-05-16,2012-07-02,0
RIJC_317,ND,58,2012-05-16,2012-07-13,0
RIJC_320,ND,65,2012-05-16,2012-07-20,0
RIJC_322,ND,56,2012-05-16,2012-07-11,0
RIJC_326,ND,51,2012-05-16,2012-07-06,0
RIJC_327,ND,61,2012-05-16,2012-07-16,0
RIJC_328,ND,57,2012-05-16,2012-07-12,0
RIJC_330,ND,52,2012-05-16,2012-07-07,0
RIJC_332,ND,60,2012-05-16,2012-07-15,0
RIJC_334,ND,60,2012-05-16,2012-07-15,0
RIJC_335,ND,52,2012-05-16,2012-07-07,0
RIJC_337,ND,52,2012-05-16,2012-07-07,0
RIJC_339,ND,59,2012-05-16,2012-07-14,0
RIJC_340,ND,65,2012-05-16,2012-07-20,0
RIJC_342,ND,52,2012-05-16,2012-07-07,0
RIJC_343,ND,55,2012-05-16,2012-07-10,0
RIJC_344,ND,58,2012-05-16,2012-07-13,0
RIJC_346,ND,59,2012-05-16,2012-07-14,0
RIJC_347,ND,63,2012-05-16,2012-07-18,0
RIJC_348,ND,66,2012-05-16,2012-07-21,0
RIJC_349,ND,60,2012-05-16,2012-07-15,0
RIJC_350,ND,55,2012-05-16,2012-07-10,0
RIJC_353,ND,53,2012-05-16,2012-07-08,0
RIJC_355,ND,58,2012-05-16,2012-07-13,0
RIJC_356,ND,56,2012-05-16,2012-07-11,0
RIJC_357,ND,55,2012-05-16,2012-07-10,0
RIJC_358,ND,70,2012-05-16,2012-07-25,0
RIJC_360,ND,64,2012-05-16,2012-07-19,0
RIJC_362,ND,55,2012-05-16,2012-07-10,0
RIJC_363,ND,66,2012-05-16,2012-07-21,0
RIJC_364,ND,56,2012-05-16,2012-07-11,0
RIJC_366,ND,45,2012-05-16,2012-06-30,0
RIJC_367,ND,51,2012-05-16,2012-07-06,0
RIJC_368,ND,56,2012-05-16,2012-07-11,0
RIJC_370,ND,54,2012-05-16,2012-07-09,0
RIJC_371,ND,55,2012-05-16,2012-07-10,0
RIJC_372,ND,58,2012-05-16,2012-07-13,0
RIJC_373,ND,59,2012-05-16,2012-07-14,0
RIJC_374,ND,58,2012-05-16,2012-07-13,0
RIJC_001,PAL,37,2011-11-11,2011-12-18,0
RIJC_002,PAL,39,2011-11-11,2011-12-20,0
RIJC_003,PAL,31,2011-11-11,2011-12-12,0
RIJC_004,PAL,38,2011-11-11,2011-12-19,0
RIJC_005,PAL,35,2011-11-11,2011-12-16,0
RIJC_006,PAL,31,2011-11-11,2011-12-12,0
RIJC_007,PAL,38,2011-11-11,2011-12-19,0
RIJC_008,PAL,32,2011-11-11,2011-12-13,0
RIJC_009,PAL,39,2011-11-11,2011-12-20,0
RIJC_011,PAL,44,2011-11-11,2011-12-25,0
RIJC_012,PAL,33,2011-11-11,2011-12-14,0
RIJC_013,PAL,34,2011-11-11,2011-12-15,0
RIJC_014,PAL,32,2011-11-11,2011-12-13,0
RIJC_015,PAL,31,2011-11-11,2011-12-12,0
RIJC_016,PAL,41,2011-11-11,2011-12-22,0
RIJC_017,PAL,37,2011-11-11,2011-12-18,0
RIJC_018,PAL,35,2011-11-11,2011-12-16,0
RIJC_019,PAL,37,2011-11-11,2011-12-18,0
RIJC_020,PAL,36,2011-11-11,2011-12-17,0
RIJC_021,PAL,34,2011-11-11,2011-12-15,0
RIJC_022,PAL,42,2011-11-11,2011-12-23,0
RIJC_024,PAL,39,2011-11-11,2011-12-20,0
RIJC_025,PAL,36,2011-11-11,2011-12-17,0
RIJC_026,PAL,45,2011-11-11,2011-12-26,0
RIJC_027,PAL,36,2011-11-11,2011-12-17,0
RIJC_029,PAL,33,2011-11-11,2011-12-14,0
RIJC_030,PAL,39,2011-11-11,2011-12-20,0
RIJC_031,PAL,38,2011-11-11,2011-12-19,0
RIJC_032,PAL,38,2011-11-11,2011-12-19,0
RIJC_045,PAL,35,2011-11-11,2011-12-16,0
RIJC_046,PAL,35,2011-11-11,2011-12-16,0
RIJC_047,PAL,33,2011-11-11,2011-12-14,0
RIJC_048,PAL,37,2011-11-11,2011-12-18,0
RIJC_049,PAL,33,2011-11-11,2011-12-14,0
RIJC_059,PAL,37,2011-11-11,2011-12-18,0
RIJC_061,PAL,40,2011-11-11,2011-12-21,0
RIJC_062,PAL,36,2011-11-11,2011-12-17,0
RIJC_064,PAL,34,2011-11-11,2011-12-15,0
RIJC_065,PAL,35,2011-11-11,2011-12-16,0
RIJC_066,PAL,34,2011-11-11,2011-12-15,0
RIJC_067,PAL,35,2011-11-11,2011-12-16,0
RIJC_069,PAL,36,2011-11-11,2011-12-17,0
RIJC_070,PAL,38,2011-11-11,2011-12-19,0
RIJC_071,PAL,36,2011-11-11,2011-12-17,0
RIJC_072,PAL,38,2011-11-11,2011-12-19,0
RIJC_073,PAL,36,2011-11-11,2011-12-17,0
RIJC_074,PAL,33,2011-11-11,2011-12-14,0
RIJC_075,PAL,42,2011-11-11,2011-12-23,0
RIJC_076,PAL,37,2011-11-11,2011-12-18,0
RIJC_078,PAL,32,2011-11-11,2011-12-13,0
RIJC_079,PAL,36,2011-11-11,2011-12-17,0
RIJC_080,PAL,31,2011-11-11,2011-12-12,0
RIJC_081,PAL,36,2011-11-11,2011-12-17,0
RIJC_082,PAL,37,2011-11-11,2011-12-18,0
RIJC_129,PAL,36,2011-11-11,2011-12-17,0
RIJC_130,PAL,39,2011-11-11,2011-12-20,0
RIJC_131,PAL,32,2011-11-11,2011-12-13,0
RIJC_133,PAL,37,2011-11-11,2011-12-18,0
RIJC_135,PAL,40,2011-11-11,2011-12-21,0
RIJC_136,PAL,36,2011-11-11,2011-12-17,0
RIJC_137,PAL,33,2011-11-11,2011-12-14,0
RIJC_138,PAL,38,2011-11-11,2011-12-19,0
RIJC_139,PAL,38,2011-11-11,2011-12-19,0
RIJC_140,PAL,32,2011-11-11,2011-12-13,0
RIJC_141,PAL,38,2011-11-11,2011-12-19,0
RIJC_142,PAL,41,2011-11-11,2011-12-22,0
RIJC_144,PAL,40,2011-11-11,2011-12-21,0
RIJC_145,PAL,38,2011-11-11,2011-12-19,0
RIJC_146,PAL,37,2011-11-11,2011-12-18,0
RIJC_147,PAL,42,2011-11-11,2011-12-23,0
RIJC_148,PAL,35,2011-11-11,2011-12-16,0
RIJC_151,PAL,37,2011-11-11,2011-12-18,0
RIJC_201,PAL,35,2011-11-11,2011-12-16,0
RIJC_202,PAL,41,2011-11-11,2011-12-22,0
RIJC_203,PAL,38,2011-11-11,2011-12-19,0
RIJC_204,PAL,38,2011-11-11,2011-12-19,0
RIJC_205,PAL,35,2011-11-11,2011-12-16,0
RIJC_206,PAL,36,2011-11-11,2011-12-17,0
RIJC_207,PAL,36,2011-11-11,2011-12-17,0
RIJC_208,PAL,42,2011-11-11,2011-12-23,0
RIJC_210,PAL,35,2011-11-11,2011-12-16,0
RIJC_214,PAL,33,2011-11-11,2011-12-14,0
RIJC_217,PAL,35,2011-11-11,2011-12-16,0
RIJC_218,PAL,38,2011-11-11,2011-12-19,0
RIJC_219,PAL,37,2011-11-11,2011-12-18,0
RIJC_221,PAL,41,2011-11-11,2011-12-22,0
RIJC_223,PAL,34,2011-11-11,2011-12-15,0
RIJC_224,PAL,34,2011-11-11,2011-12-15,0
RIJC_229,PAL,36,2011-11-11,2011-12-17,0
RIJC_230,PAL,38,2011-11-11,2011-12-19,0
RIJC_231,PAL,35,2011-11-11,2011-12-16,0
RIJC_232,PAL,43,2011-11-11,2011-12-24,0
RIJC_233,PAL,35,2011-11-11,2011-12-16,0
RIJC_235,PAL,40,2011-11-11,2011-12-21,0
RIJC_236,PAL,41,2011-11-11,2011-12-22,0
RIJC_237,PAL,36,2011-11-11,2011-12-17,0
RIJC_238,PAL,37,2011-11-11,2011-12-18,0
RIJC_242,PAL,39,2011-11-11,2011-12-20,0
RIJC_243,PAL,38,2011-11-11,2011-12-19,0
RIJC_244,PAL,31,2011-11-11,2011-12-12,0
RIJC_245,PAL,33,2011-11-11,2011-12-14,0
RIJC_247,PAL,37,2011-11-11,2011-12-18,0
RIJC_248,PAL,32,2011-11-11,2011-12-13,0
RIJC_249,PAL,38,2011-11-11,2011-12-19,0
RIJC_250,PAL,33,2011-11-11,2011-12-14,0
RIJC_251,PAL,33,2011-11-11,2011-12-14,0
RIJC_252,PAL,35,2011-11-11,2011-12-16,0
RIJC_253,PAL,35,2011-11-11,2011-12-16,0
RIJC_254,PAL,33,2011-11-11,2011-12-14,0
RIJC_255,PAL,35,2011-11-11,2011-12-16,0
RIJC_256,PAL,37,2011-11-11,2011-12-18,0
RIJC_257,PAL,30,2011-11-11,2011-12-11,0
RIJC_259,PAL,38,2011-11-11,2011-12-19,0
RIJC_261,PAL,38,2011-11-11,2011-12-19,0
RIJC_262,PAL,41,2011-11-11,2011-12-22,0
RIJC_264,PAL,40,2011-11-11,2011-12-21,0
RIJC_301,PAL,36,2011-11-11,2011-12-17,0
RIJC_302,PAL,35,2011-11-11,2011-12-16,0
RIJC_303,PAL,40,2011-11-11,2011-12-21,0
RIJC_305,PAL,44,2011-11-11,2011-12-25,0
RIJC_306,PAL,34,2011-11-11,2011-12-15,0
RIJC_307,PAL,42,2011-11-11,2011-12-23,0
RIJC_311,PAL,34,2011-11-11,2011-12-15,0
RIJC_312,PAL,37,2011-11-11,2011-12-18,0
RIJC_313,PAL,33,2011-11-11,2011-12-14,0
RIJC_314,PAL,36,2011-11-11,2011-12-17,0
RIJC_316,PAL,32,2011-11-11,2011-12-13,0
RIJC_317,PAL,38,2011-11-11,2011-12-19,0
RIJC_318,PAL,40,2011-11-11,2011-12-21,0
RIJC_319,PAL,40,2011-11-11,2011-12-21,0
RIJC_320,PAL,37,2011-11-11,2011-12-18,0
RIJC_321,PAL,42,2011-11-11,2011-12-23,0
RIJC_322,PAL,33,2011-11-11,2011-12-14,0
RIJC_325,PAL,41,2011-11-11,2011-12-22,0
RIJC_326,PAL,37,2011-11-11,2011-12-18,0
RIJC_327,PAL,32,2011-11-11,2011-12-13,0
RIJC_334,PAL,40,2011-11-11,2011-12-21,0
RIJC_335,PAL,33,2011-11-11,2011-12-14,0
RIJC_337,PAL,37,2011-11-11,2011-12-18,0
RIJC_339,PAL,39,2011-11-11,2011-12-20,0
RIJC_341,PAL,38,2011-11-11,2011-12-19,0
RIJC_342,PAL,37,2011-11-11,2011-12-18,0
RIJC_344,PAL,38,2011-11-11,2011-12-19,0
RIJC_346,PAL,37,2011-11-11,2011-12-18,0
RIJC_347,PAL,44,2011-11-11,2011-12-25,0
RIJC_348,PAL,34,2011-11-11,2011-12-15,0
RIJC_349,PAL,39,2011-11-11,2011-12-20,0
RIJC_350,PAL,37,2011-11-11,2011-12-18,0
RIJC_351,PAL,42,2011-11-11,2011-12-23,0
RIJC_352,PAL,38,2011-11-11,2011-12-19,0
RIJC_353,PAL,36,2011-11-11,2011-12-17,0
RIJC_354,PAL,34,2011-11-11,2011-12-15,0
RIJC_355,PAL,37,2011-11-11,2011-12-18,0
RIJC_356,PAL,36,2011-11-11,2011-12-17,0
RIJC_357,PAL,40,2011-11-11,2011-12-21,0
RIJC_358,PAL,43,2011-11-11,2011-12-24,0
RIJC_360,PAL,38,2011-11-11,2011-12-19,0
RIJC_361,PAL,38,2011-11-11,2011-12-19,0
RIJC_362,PAL,38,2011-11-11,2011-12-19,0
RIJC_363,PAL,35,2011-11-11,2011-12-16,0
RIJC_364,PAL,33,2011-11-11,2011-12-14,0
RIJC_366,PAL,33,2011-11-11,2011-12-14,0
RIJC_367,PAL,32,2011-11-11,2011-12-13,0
RIJC_368,PAL,33,2011-11-11,2011-12-14,0
RIJC_369,PAL,37,2011-11-11,2011-12-18,0
RIJC_370,PAL,39,2011-11-11,2011-12-20,0
RIJC_371,PAL,39,2011-11-11,2011-12-20,0
RIJC_372,PAL,36,2011-11-11,2011-12-17,0
RIJC_373,PAL,38,2011-11-11,2011-12-19,0
RIJC_374,PAL,34,2011-11-11,2011-12-15,0
RIJC_375,PAL,37,2011-11-11,2011-12-18,0
